customer_id,application_number,full_name,date_of_birth,gender,mobile_number,email,pan_number,aadhar_number,current_city,current_state,employment_type,customer_profile,registration_date,kyc_status,annual_income,cibil_score
1,APPL21668732,Saumya Majumdar,26/12/1989,F,4054995607,ridhibalakrishnan@example.net,IPPUO9153X,978000000000,Delhi,Delhi,Student,excellent,03/07/2024,Verified,399963.14,823
2,APPL83140807,Nilima Menon,07/01/1990,F,5950371228,warhi66@example.com,MTHUH7245G,747000000000,Hyderabad,Telangana,Part-time Employee,excellent,13/11/2020,Verified,320198.37,810
3,APPL55176955,Wakeeta Bhargava,02/11/1994,M,3647282068,emaster@example.org,IOTFM3230P,805000000000,Chennai,Tamil Nadu,Student,fair,05/04/2021,Verified,430899.68,619
4,APPL81971316,Abha Barad,01/01/1995,M,8528607719,laksh49@example.com,AFFWB7332I,348000000000,Kolkata,West Bengal,Self-employed,fair,08/07/2021,Verified,257390.77,609
5,APPL40587988,Omaja Palla,19/11/1992,F,4256153264,obalasubramanian@example.com,SSHCS4855P,667000000000,Chennai,Tamil Nadu,Student,fair,31/03/2023,Pending,103736.27,607
6,APPL57683626,Neelima Nagy,18/12/1999,M,2947443188,kuruvillaojasvi@example.org,ZLDPY4681T,057756030077,Delhi,Delhi,Full-time Employee,good,03/08/2023,Verified,177336.76,694
7,APPL95899313,Yashawini Ramachandran,13/02/2005,M,2662699835,amara31@example.org,NRNOC2889R,436000000000,Delhi,Delhi,Full-time Employee,good,05/10/2023,Verified,558325.23,666
8,APPL38317637,Dayamai Vyas,19/11/1992,F,4345320614,imadan@example.org,HIYQF7963P,235000000000,Mumbai,Maharashtra,Part-time Employee,excellent,29/05/2022,Verified,734370.00,753
9,APPL88461803,Sai Ray,25/02/2007,F,9409136929,loganbalay@example.org,STCYN0080O,275000000000,Pune,Maharashtra,Unemployed,fair,20/01/2023,Verified,215377.47,563
10,APPL24716857,Falak Sankaran,14/09/2002,M,1382104359,arunimamitter@example.net,MUJSQ1086J,169000000000,Hyderabad,Telangana,Part-time Employee,poor,20/12/2022,Verified,206587.67,334
11,APPL11540956,Hema Menon,04/02/1997,M,7086934634,bansaltejas@example.com,DOXCB8418H,177000000000,Pune,Maharashtra,Unemployed,good,11/05/2024,Verified,149153.82,696
12,APPL45351479,Anvi Bail,13/01/1993,M,1642399161,balhaar61@example.org,FZCBI8341A,519000000000,Kolkata,West Bengal,Unemployed,excellent,04/05/2023,Pending,339170.25,793
13,APPL81182864,Mohini Master,06/12/2003,M,8169543361,hredhaan44@example.net,FKTGU6692S,174000000000,Chennai,Tamil Nadu,Unemployed,fair,02/01/2025,Verified,183476.38,587
14,APPL42138745,Edhitha Chatterjee,12/02/2006,M,9845988648,girindrashere@example.com,QWEGJ5214J,818000000000,Mumbai,Maharashtra,Part-time Employee,excellent,10/11/2023,Pending,443589.18,786
15,APPL73791320,Harini Vohra,28/04/2005,M,4557950581,davidbajwa@example.org,GIJFB1014H,238000000000,Delhi,Delhi,Full-time Employee,excellent,16/01/2025,Verified,352089.65,826
16,APPL36998038,Anya Gaba,05/06/1993,F,3816741485,sandalom@example.net,DJJAM4973A,566000000000,Kota,Rajasthan,Self-employed,good,01/07/2025,Rejected,182330.71,670
17,APPL40885476,Gauri Sodhi,30/11/2006,M,4227222440,kamya85@example.org,QBKLJ5816M,201000000000,Kolkata,West Bengal,Student,good,16/11/2023,Verified,199520.57,672
18,APPL41944441,Neha Sahota,29/04/2002,F,5956638600,saxenachatura@example.net,PMIXD2613W,499000000000,Mumbai,Maharashtra,Self-employed,excellent,17/02/2021,Verified,438805.34,840
19,APPL22660194,Hemal Kibe,13/07/2001,M,1511701024,ishitalad@example.com,MWRYZ6501S,425000000000,Bangalore,Karnataka,Self-employed,fair,10/02/2021,Verified,693077.60,574
20,APPL23209423,Darsh Pandit,15/09/2003,M,9251749662,parikhadvaith@example.com,WZTPU0933N,269000000000,Pune,Maharashtra,Self-employed,good,16/02/2024,Verified,161739.98,722
